Distination,Goose_pkt_identifi,Goose_pkt_length,Goose_pkt_datSet,Goose_pkt_TimeAllowTolive,Goose_pkt_stNum,Goose_pkt_sqNum,Goose_pkt_Data_bit_string,Label
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,1500,2,2,3,normal
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,15000,4,3,4,normal
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,15000,3,3,3,normal
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,15000,3,3,4,normal
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,15000,2,3,3,normal
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,1500,3,0,3,normal
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,1500,3,1,3,normal
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,1500,3,2,3,normal
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,15000,3,3,3,normal
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,1500,3,0,3,normal
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,1500,4,0,4,normal
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,1500,4,1,4,normal
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,1500,3,1,3,normal
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,1500,4,2,4,normal
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,1500,3,2,3,normal
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,15000,4,3,4,normal
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,15000,3,3,3,normal
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,15000,4,4,4,normal
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,15000,3,4,3,normal
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,15000,3,4,4,normal
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,15000,2,4,3,normal
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,15000,3,4,3,normal
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,1500,3,0,3,normal
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,1500,4,0,4,normal
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,1500,4,1,4,normal
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,1500,3,1,3,normal
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,15000,4,4,4,normal
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,15000,3,4,3,normal
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,1500,4,2,4,normal
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,1500,3,2,3,normal
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,15000,4,5,4,normal
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,15000,3,5,3,normal
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,15000,4,3,4,normal
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,15000,3,3,3,normal
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,15000,3,5,3,normal
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,1500,4,0,3,normal
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,1500,5,0,4,normal
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,1500,5,1,4,normal
