Distination,appid,len,path,t,state,seq,data_cnt
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,55.121999979019165,6,4,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,55.121999979019165,5,4,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,61.96000003814697,6,0,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,61.96000003814697,6,1,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,61.96000003814697,6,2,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,61.96000003814697,6,3,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,64.62199997901917,6,0,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,64.62199997901917,7,0,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,64.62199997901917,7,1,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,64.62199997901917,6,1,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,64.62199997901917,7,2,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,64.62199997901917,6,2,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,64.62199997901917,7,3,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,64.62199997901917,6,3,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,60.00199997425079,7,4,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,60.00199997425079,6,4,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,55.121999979019165,6,5,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,55.121999979019165,5,5,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,61.96000003814697,6,4,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,70.0019999742508,7,0,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,70.0019999742508,8,0,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,70.12199997901917,6,0,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,70.12199997901917,7,0,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,70.0019999742508,8,1,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,70.0019999742508,7,1,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,70.12199997901917,7,1,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,70.12199997901917,6,1,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,70.0019999742508,8,2,1
